alpha,diffuse (x1),sharp (x12)
0.0,0.06032120443856055,0.6213780605631108
0.25,0.04548992664746938,0.6195434389876522
0.5,0.028681482293287236,0.6158836399019685
0.75,0.01126311727755867,0.6049954475436989
0.9,0.002664401587578646,0.5734796115545902
0.99,3.786202882874225e-05,0.3153844879158407
1.0,-2.6599093298311043e-17,-1.1564823173178714e-17
