step,bp_loss,pc_loss
0,3.5630729800137866,3.5630729800137866
10,2.9987930440025568,2.99879304404862
20,2.898279862965333,2.898279863124419
30,2.312082599243705,2.31208260069024
40,1.1806286485432786,1.180628649838718
50,0.6738830760065426,0.6738830762463377
60,0.5197203183936324,0.5197203186754216
70,0.4016058494836664,0.40160585030318785
80,0.275924587730351,0.27592458893475486
90,0.1591772994608553,0.15917729909658324
100,0.1378968618913551,0.13789686206786747
110,0.08425071899270678,0.08425071919409269
120,0.06817220316295905,0.06817220338652752
130,0.06015976929806062,0.060159769206735686
140,0.03658142004275603,0.036581420104001866
150,0.05350909937932367,0.05350909929956488
160,0.04429005756802788,0.04429005765427014
170,0.03458072049231066,0.03458072045722005
180,0.024177349282765107,0.024177349280605595
190,0.026033841227133984,0.026033841278624636
199,0.04097253543751988,0.04097253546059693
