N,A_closed,A_finite_gamma,gamma_finite,B_closed
4,1.503427012513233e-17,2.499232974404371e-07,10000.0,-2.3129646346357423e-18
16,-2.197316402903956e-17,1.4911500521274285e-07,10000.0,-3.122502256758253e-17
64,-5.7824115865893565e-18,1.5709561720806767e-07,10000.0,1.0408340855860843e-17
