N,relax_steps,relax_res,acc_bp,acc_pc,loss_bp,loss_pc,locality_budget,locality_ok,delta_masked_W_Q,delta_cf_masked_W_Q,delta_masked_W_K,delta_cf_masked_W_K,delta_masked_W_V,delta_cf_masked_W_V,delta_dense_W_Q,delta_cf_dense_W_Q,delta_dense_W_K,delta_cf_dense_W_K,delta_dense_W_V,delta_cf_dense_W_V
4,3.0,8.851266941611868e-12,0.3984375,0.3984375,0.37311972739368127,0.3731196351607736,2,1,1.99681729484702e-12,-2.0816681711721685e-17,6.21983020643313e-13,-1.3183898417423735e-17,5.613565168260948e-16,-1.8735013540549518e-17,1.9096554199071744e-11,-2.2898349882893852e-17,2.1267139438396756e-11,-2.7755575615628914e-17,8.699291287328493e-15,-4.302114220422482e-17
8,2.6,7.801979054131158e-10,0.236328125,0.236328125,0.4198649562324841,0.4198649330183911,2,1,8.444633881055097e-14,-3.122502256758253e-17,9.045542093133462e-15,-3.8163916471489756e-17,-1.2490009027033013e-17,-2.1510571102112406e-17,1.903223412202948e-12,-9.714451465470122e-18,1.9970969322713472e-12,-4.857225732735058e-18,8.319733790784767e-16,-1.804112415015879e-17
16,2.0,1.5681505399767204e-10,0.14453125,0.14453125,0.445529179016718,0.4455291752767406,2,1,5.81756864903582e-15,1.5265566588595904e-17,1.40165656858926e-16,-3.677613769070831e-17,-3.05311331771918e-17,-2.359223927328458e-17,2.3445412278277895e-13,-4.857225732735059e-18,1.6743065267554868e-13,-1.665334536937735e-17,9.783840404509192e-17,-2.081668171172169e-18
32,2.0,4.407155478232394e-11,0.095703125,0.095703125,0.4622051361944842,0.46220513573145094,2,1,3.6914915568786457e-16,-2.844946500601964e-17,1.4675760606763788e-15,-1.8041124150158794e-17,-2.0122792321330965e-17,-2.498001805406602e-17,3.11077552606065e-14,-2.3592239273284576e-17,1.6153745008296028e-14,-9.020562075079396e-18,6.938893903907228e-18,-2.0816681711721673e-18
64,2.0,7.161990480384663e-11,0.0859375,0.0859375,0.462950819773594,0.46295081970279583,2,1,1.9428902930940238e-17,-2.636779683484747e-17,1.9033385978417527e-14,2.983724378680108e-17,-8.326672684688674e-18,-2.914335439641036e-17,4.076600168545497e-15,-2.914335439641036e-17,1.6556200854722648e-15,-4.163336342344338e-18,1.52655665885959e-17,-1.3183898417423733e-17
128,2.0,1.4207335784924085e-10,0.05078125,0.05078125,0.47221005083470513,0.4722100508362219,2,1,2.3592239273284573e-17,2.0122792321330962e-17,2.85840101588164e-13,-1.3183898417423733e-17,1.1171619185290639e-16,-3.053113317719181e-17,5.453970608471081e-16,-1.1102230246251566e-17,4.649058915617843e-17,-6.245004513516504e-18,-2.151057110211241e-17,-2.3592239273284576e-17
256,2.0,2.8421282445801623e-10,0.064453125,0.064453125,0.4683044390674368,0.46830443900062557,2,1,-3.469446951953614e-17,1.0408340855860843e-17,4.172028694737761e-12,-9.714451465470119e-18,1.6271706204662449e-15,2.311115933264683e-33,6.522560269672794e-17,1.3877787807814465e-18,3.4208746946262634e-16,-2.4980018054066023e-17,-3.469446951953614e-17,-1.0408340855860843e-17
